,bsd,date,endtime,id,name,starttime,street,town,url,zipcode,address,geocodestatus_try1,geocodestatus_try2,lat,long
493,ns,2016-09-15,17:00,1330,Messe Halle 5 Stand G70,10:00,Bürgerweide,Bremen,"terminerinnerung.php?event_id=1330&&
              bsd=ns&&
              date=2016-09-15&&
              start=10:00&&
              end=17:00&&
              name1=Messe+Halle+5+Stand+G70&&
              name2=&&
              street=B%FCrgerweide&&
              plz=28215&&
              town=Bremen&&
              tort=1339",28215,"Bürgerweide, 28215 Bremen",1,0,53.0865387,8.81443174517
494,ns,2016-09-15,20:00,1193,Grundschule,16:00,Lerchenweg 1,Faßberg,"terminerinnerung.php?event_id=1193&&
              bsd=ns&&
              date=2016-09-15&&
              start=16:00&&
              end=20:00&&
              name1=Grundschule&&
              name2=&&
              street=Lerchenweg+1&&
              plz=29328&&
              town=Fa%DFberg&&
              tort=834",29328,"Lerchenweg 1, 29328 Faßberg",1,0,52.8978547,10.1672584
495,ns,2016-09-15,16:00,1249,Capio Elbe-Jeetzel-Klinik Dannenberg,11:00,Hermann-Löns-Straße 2,Dannenberg (Elbe),"terminerinnerung.php?event_id=1249&&
              bsd=ns&&
              date=2016-09-15&&
              start=11:00&&
              end=16:00&&
              name1=Capio+Elbe-Jeetzel-Klinik+Dannenberg&&
              name2=&&
              street=Hermann-L%F6ns-Stra%DFe+2&&
              plz=29451&&
              town=Dannenberg+%28Elbe%29&&
              tort=8632",29451,"Hermann-Löns-Straße 2, 29451 Dannenberg (Elbe)",1,0,53.08246805,11.0792955026
496,ns,2016-09-15,19:30,1228,Ratssaal Bemerode,15:30,Brabeckstraße 137,Hannover,"terminerinnerung.php?event_id=1228&&
              bsd=ns&&
              date=2016-09-15&&
              start=15:30&&
              end=19:30&&
              name1=Ratssaal+Bemerode&&
              name2=&&
              street=Brabeckstra%DFe+137&&
              plz=30539&&
              town=Hannover&&
              tort=1144",30539,"Brabeckstraße 137, 30539 Hannover",1,0,52.3467186,9.8275874
497,ns,2016-09-15,19:30,1227,Gemeinschaftshaus,16:00,Weetzer Kirchweg 3,Ronnenberg,"terminerinnerung.php?event_id=1227&&
              bsd=ns&&
              date=2016-09-15&&
              start=16:00&&
              end=19:30&&
              name1=Gemeinschaftshaus&&
              name2=&&
              street=Weetzer+Kirchweg+3&&
              plz=30952&&
              town=Ronnenberg&&
              tort=1198",30952,"Weetzer Kirchweg 3, 30952 Ronnenberg",1,0,52.3152096,9.65252089622
498,ns,2016-09-15,19:30,1490,Grundschule Oldendorf,16:00,Schulstraße 1,Salzhemmendorf,"terminerinnerung.php?event_id=1490&&
              bsd=ns&&
              date=2016-09-15&&
              start=16:00&&
              end=19:30&&
              name1=Grundschule+Oldendorf&&
              name2=&&
              street=Schulstra%DFe+1&&
              plz=31020&&
              town=Salzhemmendorf&&
              tort=1222",31020,"Schulstraße 1, 31020 Salzhemmendorf",1,0,52.08979715,9.63847681621
499,ns,2016-09-15,19:00,1265,DRK Kreisverband Hildesheim,14:30,Brühl 8,Hildesheim,"terminerinnerung.php?event_id=1265&&
              bsd=ns&&
              date=2016-09-15&&
              start=14:30&&
              end=19:00&&
              name1=DRK+Kreisverband+Hildesheim&&
              name2=&&
              street=Br%FChl+8&&
              plz=31134&&
              town=Hildesheim&&
              tort=978",31134,"Brühl 8, 31134 Hildesheim",1,0,52.14806825,9.95169402848
500,ns,2016-09-15,20:00,1273,Grundschule,16:00,Hauptstraße 36,Steimbke,"terminerinnerung.php?event_id=1273&&
              bsd=ns&&
              date=2016-09-15&&
              start=16:00&&
              end=20:00&&
              name1=Grundschule&&
              name2=&&
              street=Hauptstra%DFe+36&&
              plz=31634&&
              town=Steimbke&&
              tort=1073",31634,"Hauptstraße 36, 31634 Steimbke",1,0,52.655568,9.3922898
501,west,2016-09-15,19:00,4060,DRK-Blutspendedienst,13:00,Heldmanstr. 45,Bad Salzuflen,"terminerinnerung.php?event_id=4060&&
              bsd=west&&
              date=2016-09-15&&
              start=13:00&&
              end=19:00&&
              name1=DRK-Blutspendedienst&&
              name2=&&
              street=Heldmanstr.+45&&
              plz=32108&&
              town=Bad+Salzuflen&&
              tort=BADF ",32108,"Heldmanstr. 45, 32108 Bad Salzuflen",1,0,52.0742819,8.7644385
502,west,2016-09-15,20:00,4061,Grundschule,16:00,Osterfeldstr. 14,Porta Westfalica,"terminerinnerung.php?event_id=4061&&
              bsd=west&&
              date=2016-09-15&&
              start=16:00&&
              end=20:00&&
              name1=Grundschule&&
              name2=&&
              street=Osterfeldstr.+14&&
              plz=32457&&
              town=Porta+Westfalica&&
              tort=BARK ",32457,"Osterfeldstr. 14, 32457 Porta Westfalica",1,0,52.2539627,8.91041525
